ra,ano,fase,turma,nome,idade,genero,ano_ingresso,instituicao,pedra,inde,iaa,ieg,ips,ipp,ida,nota_matematica,nota_portugues,nota_ingles,indicado_bolsa,atingiu_pv,ipv,ian,fase_ideal,defasagem,fase_num,fase_ideal_num,pedra_padrao,instituicao_padrao,iaa_original,ipv_original,defasagem_original,defasagem_calculada,genero_inconsistente,ano_ingresso_inconsistente,idade_inconsistente
RA-628,2022,1,N,Aluno-628,11,Masculino,2022,Pública,Ametista,7.577,9.5,7.6,7.5,,9.2,9.3,9.0,,Não,Não,7.333,5.0,Fase 2 (5º e 6º ano),-1,1,2,Ametista,Pública,9.5,7.333,-1,-1,False,False,False
RA-629,2022,1,N,Aluno-629,9,Masculino,2022,Pública,Topázio,8.11,9.0,10.0,7.5,,7.0,5.0,9.0,,Não,Não,7.278,10.0,Fase 1 (4º ano),0,1,1,Topázio,Pública,9.0,7.278,0,0,True,False,False
RA-630,2022,1,N,Aluno-630,9,Masculino,2022,Pública,Topázio,8.064,9.5,9.2,7.5,,7.3,6.5,8.0,,Não,Não,7.278,10.0,Fase 1 (4º ano),0,1,1,Topázio,Pública,9.5,7.278,0,0,False,False,False
RA-631,2022,1,N,Aluno-631,12,Masculino,2022,Pública,Ágata,6.928,8.5,6.8,7.5,,7.0,7.3,6.7,,Não,Não,7.222,5.0,Fase 3 (7º e 8º ano),-2,1,3,Ágata,Pública,8.5,7.222,-2,-2,False,False,False
RA-632,2022,1,P,Aluno-632,10,Feminino,2022,Pública,Ágata,6.996,8.5,9.3,6.9,,6.3,5.5,7.2,,Não,Não,6.722,5.0,Fase 2 (5º e 6º ano),-1,1,2,Ágata,Pública,8.5,6.722,-1,-1,False,False,False
RA-633,2022,1,P,Aluno-633,11,Feminino,2020,Pública,Ametista,7.476,7.3,8.9,7.5,,7.7,6.8,8.5,,Não,Não,7.833,5.0,Fase 2 (5º e 6º ano),-1,1,2,Ametista,Pública,7.3,7.833,-1,-1,False,True,False
RA-634,2022,1,P,Aluno-634,11,Feminino,2022,Pública,Ametista,7.619,9.5,9.4,7.5,,6.5,8.0,5.0,,Não,Não,8.222,5.0,Fase 2 (5º e 6º ano),-1,1,2,Ametista,Pública,9.5,8.222,-1,-1,False,False,False
RA-635,2022,1,P,Aluno-635,10,Masculino,2022,Pública,Quartzo,5.313,10.0,4.9,6.9,,1.5,0.5,2.5,,Não,Não,6.444,5.0,Fase 2 (5º e 6º ano),-1,1,2,Quartzo,Pública,10.0,6.444,-1,-1,False,False,False
RA-636,2022,1,P,Aluno-636,10,Masculino,2022,Pública,Ametista,7.189,8.5,8.0,6.9,,7.3,7.3,7.3,,Sim,Não,7.389,5.0,Fase 2 (5º e 6º ano),-1,1,2,Ametista,Pública,8.5,7.389,-1,-1,False,False,False
RA-637,2022,1,P,Aluno-637,10,Feminino,2021,Pública,Ametista,7.039,8.5,9.0,7.5,,5.8,4.8,6.8,,Não,Não,7.0,5.0,Fase 2 (5º e 6º ano),-1,1,2,Ametista,Pública,8.5,7.0,-1,-1,False,False,False
RA-638,2022,1,P,Aluno-638,9,Feminino,2020,Pública,Ametista,7.059,8.5,9.3,7.5,,3.9,2.0,5.8,,Não,Não,6.278,10.0,Fase 1 (4º ano),0,1,1,Ametista,Pública,8.5,6.278,0,0,False,True,False
RA-639,2022,1,P,Aluno-639,10,Feminino,2021,Pública,Ágata,6.613,8.5,7.4,7.5,,5.5,3.2,7.8,,Não,Não,6.611,5.0,Fase 2 (5º e 6º ano),-1,1,2,Ágata,Pública,8.5,6.611,-1,-1,False,False,False
RA-640,2022,1,P,Aluno-640,11,Feminino,2022,Pública,Ágata,6.73,9.0,8.4,7.5,,4.8,2.5,7.0,,Não,Não,6.778,5.0,Fase 2 (5º e 6º ano),-1,1,2,Ágata,Pública,9.0,6.778,-1,-1,False,False,False
RA-641,2022,1,P,Aluno-641,9,Feminino,2022,Pública,Ametista,7.776,9.0,9.3,7.5,,6.5,4.5,8.5,,Não,Não,6.778,10.0,Fase 1 (4º ano),0,1,1,Ametista,Pública,9.0,6.778,0,0,False,False,False
RA-642,2022,1,P,Aluno-642,10,Feminino,2021,Pública,Ametista,7.75,10.0,9.7,6.9,,7.3,7.0,7.7,,Não,Não,7.778,5.0,Fase 2 (5º e 6º ano),-1,1,2,Ametista,Pública,10.0,7.778,-1,-1,False,False,False
RA-643,2022,1,P,Aluno-643,10,Masculino,2022,Pública,Ágata,6.763,9.0,8.0,7.5,,6.2,6.3,6.0,,Não,Não,6.722,5.0,Fase 2 (5º e 6º ano),-1,1,2,Ágata,Pública,9.0,6.722,-1,-1,False,False,False
RA-644,2022,1,P,Aluno-644,11,Feminino,2021,Pública,Ametista,7.83,9.5,8.0,7.5,,8.8,9.7,8.0,,Sim,Não,8.278,5.0,Fase 2 (5º e 6º ano),-1,1,2,Ametista,Pública,9.5,8.278,-1,-1,False,False,False
RA-645,2022,1,P,Aluno-645,10,Feminino,2022,Pública,Ágata,6.086,8.5,8.1,7.5,,2.0,4.0,0.0,,Não,Não,6.833,5.0,Fase 2 (5º e 6º ano),-1,1,2,Ágata,Pública,8.5,6.833,-1,-1,False,False,False
RA-646,2022,1,R,Aluno-646,13,Masculino,2019,Pública,Topázio,8.181,8.5,9.8,8.1,,8.4,8.8,8.0,,Sim,Sim,8.389,5.0,Fase 3 (7º e 8º ano),-2,1,3,Topázio,Pública,8.5,8.389,-2,-2,False,True,False
RA-647,2022,1,R,Aluno-647,10,Masculino,2022,Pública,Ágata,6.606,9.5,8.6,7.5,,3.3,1.5,5.2,,Não,Não,7.278,5.0,Fase 2 (5º e 6º ano),-1,1,2,Ágata,Pública,9.5,7.278,-1,-1,True,False,False
RA-648,2022,1,R,Aluno-648,12,Masculino,2019,Pública,Ágata,6.736,9.0,7.5,6.9,,5.3,5.0,5.5,,Não,Não,7.5,5.0,Fase 3 (7º e 8º ano),-2,1,3,Ágata,Pública,9.0,7.5,-2,-2,False,False,False
RA-649,2022,1,R,Aluno-649,12,Feminino,2019,Pública,Ametista,7.302,8.5,8.9,5.6,,7.4,6.3,8.5,,Não,Não,7.611,5.0,Fase 3 (7º e 8º ano),-2,1,3,Ametista,Pública,8.5,7.611,-2,-2,False,True,False
RA-650,2022,1,R,Aluno-650,11,Feminino,2021,Pública,Ágata,7.004,6.9,8.7,5.6,,6.9,5.5,8.3,,Não,Não,7.5,5.0,Fase 2 (5º e 6º ano),-1,1,2,Ágata,Pública,6.9,7.5,-1,-1,False,False,False
RA-651,2022,1,R,Aluno-651,10,Feminino,2022,Pública,Ametista,7.866,8.5,9.3,7.5,,7.8,7.7,7.8,,Sim,Não,8.333,5.0,Fase 2 (5º e 6º ano),-1,1,2,Ametista,Pública,8.5,8.333,-1,-1,False,False,False
RA-652,2022,1,R,Aluno-652,9,Feminino,2022,Pública,Topázio,8.151,8.0,9.6,7.5,,7.8,7.0,8.5,,Não,Não,7.5,10.0,Fase 1 (4º ano),0,1,1,Topázio,Pública,8.0,7.5,0,0,False,False,False
RA-653,2022,1,R,Aluno-653,11,Feminino,2022,Pública,Topázio,8.101,9.5,9.6,7.5,,9.3,9.5,9.0,,Não,Não,7.5,5.0,Fase 2 (5º e 6º ano),-1,1,2,Topázio,Pública,9.5,7.5,-1,-1,False,False,False
RA-654,2022,1,R,Aluno-654,12,Feminino,2022,Pública,Ametista,7.308,8.5,8.6,7.5,,6.8,5.5,8.0,,Não,Não,7.556,5.0,Fase 3 (7º e 8º ano),-2,1,3,Ametista,Pública,8.5,7.556,-2,-2,False,False,False
RA-655,2022,1,R,Aluno-655,12,Feminino,2019,Pública,Ametista,7.785,7.5,9.2,7.5,,8.3,8.3,8.2,,Sim,Sim,8.389,5.0,Fase 3 (7º e 8º ano),-2,1,3,Ametista,Pública,7.5,8.389,-2,-2,False,True,False
RA-656,2022,1,R,Aluno-656,11,Feminino,2020,Pública,Ágata,6.652,7.4,7.5,5.6,,6.3,5.0,7.5,,Não,Não,7.5,5.0,Fase 2 (5º e 6º ano),-1,1,2,Ágata,Pública,7.4,7.5,-1,-1,False,True,False
RA-657,2022,1,R,Aluno-657,12,Feminino,2021,Pública,Topázio,8.093,9.5,9.8,7.5,,9.0,9.0,9.0,,Não,Não,7.5,5.0,Fase 3 (7º e 8º ano),-2,1,3,Topázio,Pública,9.5,7.5,-2,-2,False,False,False
RA-658,2022,1,U,Aluno-658,10,Feminino,2022,Pública,Ametista,7.407,10.0,9.3,7.5,,5.6,4.7,6.5,,Não,Não,7.917,5.0,Fase 2 (5º e 6º ano),-1,1,2,Ametista,Pública,10.0,7.917,-1,-1,False,False,False
RA-659,2022,1,U,Aluno-659,10,Feminino,2022,Pública,Ametista,7.783,8.0,7.8,7.5,,9.3,9.5,9.0,,Não,Não,8.333,5.0,Fase 2 (5º e 6º ano),-1,1,2,Ametista,Pública,8.0,8.333,-1,-1,False,False,False
RA-660,2022,1,U,Aluno-660,9,Feminino,2021,Pública,Topázio,8.363,9.5,9.0,7.5,,6.9,5.8,8.0,,Não,Sim,9.083,10.0,Fase 1 (4º ano),0,1,1,Topázio,Pública,9.5,9.083,0,0,False,False,False
RA-661,2022,1,U,Aluno-661,11,Masculino,2022,Pública,Ametista,7.593,9.0,8.3,7.5,,7.8,8.3,7.3,,Não,Não,7.917,5.0,Fase 2 (5º e 6º ano),-1,1,2,Ametista,Pública,9.0,7.917,-1,-1,False,False,False
RA-662,2022,1,U,Aluno-662,11,Feminino,2022,Pública,Ametista,7.044,9.0,8.8,7.5,,6.8,5.7,7.8,,Não,Não,6.083,5.0,Fase 2 (5º e 6º ano),-1,1,2,Ametista,Pública,9.0,6.083,-1,-1,False,False,False
RA-663,2022,1,U,Aluno-663,10,Masculino,2022,Pública,Ágata,6.376,6.9,8.7,7.5,,5.8,5.0,6.5,,Não,Não,5.25,5.0,Fase 2 (5º e 6º ano),-1,1,2,Ágata,Pública,6.9,5.25,-1,-1,False,False,False
RA-664,2022,1,U,Aluno-664,10,Feminino,2022,Pública,Ametista,7.277,9.5,8.8,7.5,,6.3,5.0,7.5,,Não,Não,7.167,5.0,Fase 2 (5º e 6º ano),-1,1,2,Ametista,Pública,9.5,7.167,-1,-1,False,False,False
RA-665,2022,1,U,Aluno-665,11,Feminino,2022,Pública,Ágata,6.996,9.0,7.4,7.5,,6.8,6.5,7.0,,Não,Não,7.25,5.0,Fase 2 (5º e 6º ano),-1,1,2,Ágata,Pública,9.0,7.25,-1,-1,False,False,False
RA-666,2022,1,U,Aluno-666,10,Masculino,2022,Pública,Ametista,7.929,9.5,9.1,7.5,,7.8,8.0,7.5,,Não,Sim,8.833,5.0,Fase 2 (5º e 6º ano),-1,1,2,Ametista,Pública,9.5,8.833,-1,-1,False,False,False
RA-667,2022,1,U,Aluno-667,11,Masculino,2021,Pública,Quartzo,5.844,8.5,5.6,7.5,,4.5,3.7,5.3,,Não,Não,5.833,5.0,Fase 2 (5º e 6º ano),-1,1,2,Quartzo,Pública,8.5,5.833,-1,-1,False,False,False
RA-668,2022,1,U,Aluno-668,11,Masculino,2022,Pública,Quartzo,4.365,6.9,3.3,7.5,,2.8,2.8,2.8,,Não,Não,3.75,5.0,Fase 2 (5º e 6º ano),-1,1,2,Quartzo,Pública,6.9,3.75,-1,-1,False,False,False
RA-669,2022,1,U,Aluno-669,11,Masculino,2022,Pública,Ametista,7.475,9.0,9.7,7.5,,6.0,5.0,7.0,,Não,Não,7.833,5.0,Fase 2 (5º e 6º ano),-1,1,2,Ametista,Pública,9.0,7.833,-1,-1,False,False,False
RA-670,2022,1,U,Aluno-670,10,Feminino,2022,Pública,Ametista,7.451,8.0,8.8,7.5,,6.9,6.5,7.3,,Não,Não,8.167,5.0,Fase 2 (5º e 6º ano),-1,1,2,Ametista,Pública,8.0,8.167,-1,-1,False,False,False
RA-671,2022,0,A,Aluno-671,9,Masculino,2021,Pública,Ametista,7.617,8.5,8.2,8.1,,8.8,8.8,8.8,,Não,Não,7.417,5.0,Fase 1 (4º ano),-1,0,1,Ametista,Pública,8.5,7.417,-1,-1,False,False,False
RA-672,2022,0,A,Aluno-672,9,Feminino,2021,Pública,Ametista,7.48,8.5,8.5,8.1,,8.8,8.5,9.1,,Não,Não,6.75,5.0,Fase 1 (4º ano),-1,0,1,Ametista,Pública,8.5,6.75,-1,-1,False,False,False
RA-673,2022,0,A,Aluno-673,8,Feminino,2022,Pública,Topázio,8.65,8.5,9.2,8.1,,9.2,9.4,8.9,,Sim,Sim,8.583,10.0,ALFA  (2º e 3º ano),0,0,0,Topázio,Pública,8.5,8.583,0,0,False,False,False
RA-674,2022,0,A,Aluno-674,8,Masculino,2022,Pública,Ametista,7.862,9.5,8.7,8.1,,8.0,8.9,7.0,,Não,Não,6.333,10.0,ALFA  (2º e 3º ano),0,0,0,Ametista,Pública,9.5,6.333,0,0,False,False,False
RA-675,2022,0,A,Aluno-675,8,Masculino,2022,Pública,Ametista,7.576,10.0,6.6,8.1,,7.4,8.8,5.9,,Sim,Não,7.083,10.0,ALFA  (2º e 3º ano),0,0,0,Ametista,Pública,10.0,7.083,0,0,False,False,False
RA-676,2022,0,A,Aluno-676,9,Masculino,2021,Pública,Ametista,7.911,8.5,8.6,8.1,,9.3,9.5,9.1,,Sim,Não,8.167,5.0,Fase 1 (4º ano),-1,0,1,Ametista,Pública,8.5,8.167,-1,-1,False,False,False
RA-677,2022,0,B,Aluno-677,8,Feminino,2021,Pública,Topázio,8.358,10.0,9.4,7.5,,7.3,7.7,6.8,,Não,Sim,8.583,10.0,ALFA  (2º e 3º ano),0,0,0,Topázio,Pública,10.0,8.583,0,0,False,False,False
RA-678,2022,0,B,Aluno-678,9,Masculino,2022,Pública,Ametista,8.0,9.0,10.0,6.9,,7.3,7.5,7.0,,Não,Sim,9.5,5.0,Fase 1 (4º ano),-1,0,1,Ametista,Pública,9.0,9.5,-1,-1,False,False,False
RA-679,2022,0,B,Aluno-679,10,Masculino,2020,Pública,Ametista,7.172,9.0,8.2,7.5,,6.3,6.7,5.8,,Não,Não,7.833,5.0,Fase 2 (5º e 6º ano),-2,0,2,Ametista,Pública,9.0,7.833,-2,-2,False,False,False
RA-680,2022,0,B,Aluno-680,10,Feminino,2019,Pública,Ametista,7.518,9.5,8.8,7.5,,7.4,8.0,6.8,,Não,Não,7.75,5.0,Fase 2 (5º e 6º ano),-2,0,2,Ametista,Pública,9.5,7.75,-2,-2,False,True,False
RA-681,2022,0,B,Aluno-681,10,Masculino,2022,Pública,Ametista,7.204,8.5,8.5,6.9,,6.5,6.5,6.5,,Não,Não,8.0,5.0,Fase 2 (5º e 6º ano),-2,0,2,Ametista,Pública,8.5,8.0,-2,-2,False,False,False
RA-682,2022,0,B,Aluno-682,11,Masculino,2022,Pública,Ametista,7.625,9.5,9.1,7.5,,7.0,7.0,7.0,,Não,Não,8.083,5.0,Fase 2 (5º e 6º ano),-2,0,2,Ametista,Pública,9.5,8.083,-2,-2,False,False,False
RA-683,2022,0,C,Aluno-683,10,Masculino,2022,Pública,Ágata,6.011,7.9,5.0,7.5,,4.0,8.0,0.0,,Não,Não,8.083,5.0,Fase 2 (5º e 6º ano),-2,0,2,Ágata,Pública,7.9,8.083,-2,-2,False,False,False
RA-684,2022,0,C,Aluno-684,7,Masculino,2022,Pública,Topázio,8.26,9.5,7.5,8.1,,9.3,9.0,9.6,,Não,Não,7.917,10.0,ALFA  (2º e 3º ano),0,0,0,Topázio,Pública,9.5,7.917,0,0,False,False,False
RA-685,2022,0,C,Aluno-685,9,Masculino,2022,Pública,Ágata,6.864,9.0,6.2,5.0,,8.0,8.0,8.0,,Não,Não,7.833,5.0,Fase 1 (4º ano),-1,0,1,Ágata,Pública,9.0,7.833,-1,-1,False,False,False
RA-686,2022,0,D,Aluno-686,9,Feminino,2022,Pública,Ametista,7.729,7.5,8.6,8.1,,8.8,9.2,8.5,,Não,Não,8.083,5.0,Fase 1 (4º ano),-1,0,1,Ametista,Pública,7.5,8.083,-1,-1,False,False,False
RA-687,2022,0,D,Aluno-687,9,Masculino,2022,Pública,Ametista,7.703,8.5,9.0,8.1,,8.3,9.0,7.5,,Não,Não,8.0,5.0,Fase 1 (4º ano),-1,0,1,Ametista,Pública,8.5,8.0,-1,-1,False,False,False
RA-688,2022,0,D,Aluno-688,9,Masculino,2022,Pública,Ametista,7.771,8.5,9.7,7.5,,7.9,8.0,7.8,,Não,Não,7.917,5.0,Fase 1 (4º ano),-1,0,1,Ametista,Pública,8.5,7.917,-1,-1,False,False,False
RA-689,2022,0,D,Aluno-689,9,Feminino,2022,Pública,Ágata,6.433,7.4,7.9,5.6,,5.8,6.0,5.5,,Não,Não,6.667,5.0,Fase 1 (4º ano),-1,0,1,Ágata,Pública,7.4,6.667,-1,-1,False,False,False
RA-690,2022,0,D,Aluno-690,9,Feminino,2022,Pública,Ametista,7.541,9.5,9.5,7.5,,7.0,7.2,6.8,,Não,Não,7.417,5.0,Fase 1 (4º ano),-1,0,1,Ametista,Pública,9.5,7.417,-1,-1,False,False,False
RA-691,2022,0,D,Aluno-691,8,Feminino,2022,Pública,Topázio,8.68,10.0,9.2,8.1,,9.4,9.6,9.3,,Não,Não,7.917,10.0,ALFA  (2º e 3º ano),0,0,0,Topázio,Pública,10.0,7.917,0,0,False,False,False
RA-692,2022,0,D,Aluno-692,9,Feminino,2021,Pública,Ametista,7.569,9.5,8.9,8.1,,6.9,7.0,6.8,,Não,Não,7.917,5.0,Fase 1 (4º ano),-1,0,1,Ametista,Pública,9.5,7.917,-1,-1,False,False,False
RA-693,2022,0,D,Aluno-693,7,Feminino,2022,Pública,Ametista,7.944,9.5,9.8,8.1,,5.7,5.0,6.3,,Não,Não,7.667,10.0,ALFA  (2º e 3º ano),0,0,0,Ametista,Pública,9.5,7.667,0,0,False,False,False
RA-694,2022,0,D,Aluno-694,8,Masculino,2022,Pública,Topázio,8.378,10.0,9.0,8.1,,8.1,8.2,8.0,,Não,Não,7.917,10.0,ALFA  (2º e 3º ano),0,0,0,Topázio,Pública,10.0,7.917,0,0,False,False,False
RA-695,2022,0,E,Aluno-695,8,Feminino,2021,Pública,Quartzo,4.28,9.0,3.1,7.5,,2.5,2.2,2.8,,Não,Não,2.5,10.0,ALFA  (2º e 3º ano),0,0,0,Quartzo,Pública,9.0,2.5,0,0,False,False,False
RA-696,2022,0,E,Aluno-696,9,Feminino,2021,Pública,Ametista,7.441,8.5,9.0,7.5,,6.6,6.5,6.7,,Não,Não,8.167,5.0,Fase 1 (4º ano),-1,0,1,Ametista,Pública,8.5,8.167,-1,-1,False,False,False
RA-697,2022,0,E,Aluno-697,11,Masculino,2021,Pública,Ametista,7.675,7.0,9.3,7.5,,8.4,8.8,8.0,,Não,Não,8.083,5.0,Fase 2 (5º e 6º ano),-2,0,2,Ametista,Pública,7.0,8.083,-2,-2,False,False,False
RA-698,2022,0,E,Aluno-698,9,Masculino,2021,Pública,Ametista,7.44,9.0,9.8,2.5,,8.1,8.0,8.2,,Não,Não,8.083,5.0,Fase 1 (4º ano),-1,0,1,Ametista,Pública,9.0,8.083,-1,-1,False,False,False
RA-699,2022,0,E,Aluno-699,9,Masculino,2022,Pública,Ágata,6.658,5.2,9.2,7.5,,7.1,7.5,6.7,,Não,Não,6.0,5.0,Fase 1 (4º ano),-1,0,1,Ágata,Pública,5.2,6.0,-1,-1,False,False,False
RA-700,2022,0,F,Aluno-700,9,Feminino,2022,Pública,Ametista,7.738,9.0,8.7,7.5,,9.2,9.2,9.2,,Não,Não,7.083,5.0,Fase 1 (4º ano),-1,0,1,Ametista,Pública,9.0,7.083,-1,-1,False,False,False
RA-701,2022,0,F,Aluno-701,10,Masculino,2021,Pública,Ametista,7.755,9.0,9.3,7.5,,8.7,8.7,8.7,,Não,Não,7.417,5.0,Fase 2 (5º e 6º ano),-2,0,2,Ametista,Pública,9.0,7.417,-2,-2,False,False,False
RA-702,2022,0,F,Aluno-702,8,Feminino,2022,Pública,Ametista,7.387,10.0,8.6,5.0,,6.8,7.0,6.7,,Não,Não,7.0,10.0,ALFA  (2º e 3º ano),0,0,0,Ametista,Pública,10.0,7.0,0,0,False,False,False
RA-703,2022,0,F,Aluno-703,10,Masculino,2021,Pública,Ágata,6.099,7.5,7.4,5.0,,5.1,5.3,4.8,,Não,Não,6.833,5.0,Fase 2 (5º e 6º ano),-2,0,2,Ágata,Pública,7.5,6.833,-2,-2,False,False,False
RA-704,2022,0,F,Aluno-704,10,Masculino,2022,Pública,Ágata,6.741,9.0,8.6,5.0,,7.2,7.7,6.6,,Não,Não,6.583,5.0,Fase 2 (5º e 6º ano),-2,0,2,Ágata,Pública,9.0,6.583,-2,-2,False,False,False
RA-705,2022,0,F,Aluno-705,10,Masculino,2022,Pública,Ágata,6.634,9.5,6.2,7.5,,7.1,7.0,7.2,,Não,Não,6.333,5.0,Fase 2 (5º e 6º ano),-2,0,2,Ágata,Pública,9.5,6.333,-2,-2,False,False,False
RA-706,2022,0,F,Aluno-706,10,Feminino,2021,Pública,Ametista,7.659,9.5,6.7,7.5,,9.1,9.1,9.1,,Não,Sim,8.417,5.0,Fase 2 (5º e 6º ano),-2,0,2,Ametista,Pública,9.5,8.417,-2,-2,False,False,False
RA-707,2022,0,F,Aluno-707,10,Feminino,2020,Pública,Ametista,7.679,10.0,8.1,6.9,,8.5,8.8,8.2,,Não,Não,8.083,5.0,Fase 2 (5º e 6º ano),-2,0,2,Ametista,Pública,10.0,8.083,-2,-2,False,True,False
RA-708,2022,0,F,Aluno-708,9,Masculino,2022,Pública,Ametista,7.282,8.0,8.4,7.5,,7.3,7.1,7.6,,Não,Não,7.583,5.0,Fase 1 (4º ano),-1,0,1,Ametista,Pública,8.0,7.583,-1,-1,False,False,False
RA-709,2022,0,F,Aluno-709,10,Feminino,2022,Pública,Quartzo,5.313,9.5,3.5,7.5,,2.3,2.3,2.3,,Não,Não,7.083,5.0,Fase 2 (5º e 6º ano),-2,0,2,Quartzo,Pública,9.5,7.083,-2,-2,False,False,False
RA-710,2022,0,G,Aluno-710,10,Masculino,2020,Pública,Ametista,7.285,9.5,8.9,5.0,,6.9,7.0,6.8,,Não,Não,8.0,5.0,Fase 2 (5º e 6º ano),-2,0,2,Ametista,Pública,9.5,8.0,-2,-2,False,True,False
RA-711,2022,0,G,Aluno-711,9,Masculino,2022,Pública,Ágata,6.04,9.0,7.9,6.3,,3.5,4.0,3.0,,Não,Não,6.0,5.0,Fase 1 (4º ano),-1,0,1,Ágata,Pública,9.0,6.0,-1,-1,False,False,False
RA-712,2022,0,G,Aluno-712,11,Masculino,2019,Pública,Ágata,6.026,8.0,5.1,5.0,,8.0,8.7,7.3,,Não,Não,5.833,5.0,Fase 2 (5º e 6º ano),-2,0,2,Ágata,Pública,8.0,5.833,-2,-2,False,True,False
RA-713,2022,0,G,Aluno-713,9,Masculino,2021,Pública,Ametista,7.42,10.0,8.7,7.5,,7.8,8.0,7.7,,Não,Não,7.25,5.0,Fase 1 (4º ano),-1,0,1,Ametista,Pública,10.0,7.25,-1,-1,False,False,False
RA-714,2022,0,G,Aluno-714,11,Masculino,2019,Pública,Ágata,6.953,9.0,6.9,5.6,,8.0,8.5,7.5,,Não,Não,7.25,5.0,Fase 2 (5º e 6º ano),-2,0,2,Ágata,Pública,9.0,7.25,-2,-2,False,True,False
RA-715,2022,0,G,Aluno-715,9,Feminino,2022,Pública,Ágata,6.656,8.5,8.7,4.4,,4.9,4.8,5.0,,Não,Não,7.917,5.0,Fase 1 (4º ano),-1,0,1,Ágata,Pública,8.5,7.917,-1,-1,False,False,False
RA-716,2022,0,G,Aluno-716,9,Masculino,2022,Pública,Ágata,6.525,8.9,8.1,7.5,,6.7,7.3,6.0,,Não,Não,5.417,5.0,Fase 1 (4º ano),-1,0,1,Ágata,Pública,8.9,5.417,-1,-1,False,False,False
RA-717,2022,0,G,Aluno-717,10,Feminino,2021,Pública,Ágata,6.832,9.0,7.3,7.5,,5.4,5.0,5.8,,Não,Não,7.917,5.0,Fase 2 (5º e 6º ano),-2,0,2,Ágata,Pública,9.0,7.917,-2,-2,False,False,False
RA-718,2022,0,G,Aluno-718,8,Feminino,2022,Pública,Topázio,8.093,8.0,8.9,6.3,,9.2,9.2,9.2,,Não,Não,7.417,10.0,ALFA  (2º e 3º ano),0,0,0,Topázio,Pública,8.0,7.417,0,0,False,False,False
RA-719,2022,0,G,Aluno-719,10,Feminino,2021,Pública,Quartzo,5.552,9.0,4.6,7.5,,4.2,5.0,3.3,,Não,Não,6.083,5.0,Fase 2 (5º e 6º ano),-2,0,2,Quartzo,Pública,9.0,6.083,-2,-2,True,False,False
RA-720,2022,0,G,Aluno-720,9,Feminino,2021,Pública,Ágata,6.731,8.0,5.9,7.5,,7.6,7.3,7.8,,Não,Não,7.083,5.0,Fase 1 (4º ano),-1,0,1,Ágata,Pública,8.0,7.083,-1,-1,False,False,False
RA-721,2022,0,G,Aluno-721,8,Feminino,2021,Pública,Ametista,7.973,9.5,8.1,7.5,,7.6,8.2,7.0,,Não,Não,7.917,10.0,ALFA  (2º e 3º ano),0,0,0,Ametista,Pública,9.5,7.917,0,0,False,False,False
RA-722,2022,0,G,Aluno-722,9,Feminino,2021,Pública,Ametista,7.41,10.0,8.1,4.4,,8.1,7.8,8.3,,Não,Não,8.333,5.0,Fase 1 (4º ano),-1,0,1,Ametista,Pública,10.0,8.333,-1,-1,False,False,False
RA-723,2022,0,H,Aluno-723,8,Feminino,2022,Pública,Ametista,7.426,10.0,6.6,8.1,,5.5,5.3,5.7,,Não,Não,8.167,10.0,ALFA  (2º e 3º ano),0,0,0,Ametista,Pública,10.0,8.167,0,0,False,False,False
RA-724,2022,0,H,Aluno-724,8,Feminino,2022,Pública,Ágata,6.931,9.5,5.9,5.6,,5.6,2.9,8.3,,Não,Não,8.0,10.0,ALFA  (2º e 3º ano),0,0,0,Ágata,Pública,9.5,8.0,0,0,False,False,False
RA-725,2022,0,H,Aluno-725,8,Masculino,2022,Pública,Ágata,6.33,8.0,5.9,8.1,,5.0,4.0,6.0,,Não,Não,5.5,10.0,ALFA  (2º e 3º ano),0,0,0,Ágata,Pública,8.0,5.5,0,0,False,False,False
RA-726,2022,0,H,Aluno-726,7,Feminino,2022,Pública,Ágata,6.985,10.0,7.5,7.5,,4.4,5.8,3.0,,Não,Não,6.583,10.0,ALFA  (2º e 3º ano),0,0,0,Ágata,Pública,10.0,6.583,0,0,False,False,False
RA-727,2022,0,H,Aluno-727,8,Masculino,2022,Pública,Ametista,7.736,9.0,7.7,8.1,,8.4,9.3,7.4,,Não,Não,6.75,10.0,ALFA  (2º e 3º ano),0,0,0,Ametista,Pública,9.0,6.75,0,0,False,False,False
RA-728,2022,0,H,Aluno-728,8,Feminino,2022,Pública,Topázio,8.244,9.5,7.3,8.1,,9.1,9.3,8.9,,Não,Não,8.167,10.0,ALFA  (2º e 3º ano),0,0,0,Topázio,Pública,9.5,8.167,0,0,False,False,False
RA-729,2022,0,H,Aluno-729,8,Feminino,2022,Pública,Topázio,8.155,10.0,8.7,8.1,,8.1,8.5,7.8,,Não,Não,7.25,10.0,ALFA  (2º e 3º ano),0,0,0,Topázio,Pública,10.0,7.25,0,0,False,False,False
RA-730,2022,0,I,Aluno-730,10,Feminino,2021,Pública,Ametista,7.902,10.0,8.2,8.8,,8.3,8.7,8.0,,Não,Não,8.25,5.0,Fase 2 (5º e 6º ano),-2,0,2,Ametista,Pública,10.0,8.25,-2,-2,False,False,False
RA-731,2022,0,I,Aluno-731,10,Feminino,2019,Pública,Ametista,7.151,9.0,8.5,6.9,,7.3,7.3,7.2,,Não,Não,7.083,5.0,Fase 2 (5º e 6º ano),-2,0,2,Ametista,Pública,9.0,7.083,-2,-2,False,True,False
